
				Parsed Table

		Token						Type							Line Number

                 int                       Keyword                                                         2 3
                   (                    Punctuator                                                       2 6 8
                   )                    Punctuator                                                       2 6 8
                   {                    Punctuator                                                         2 5
                   =                      Operator                                                         3 4
                   ;                    Punctuator                                                     3 4 6 8
               float                       Keyword                                                           4
     "Hello, World!"                String Literal                                                           6
                   }                    Punctuator                                                         7 9
                  if                       Keyword                                                           8
              return                       Keyword                                                           8
